Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
seche-serviettes-electrique-500w-1,Sèche-Serviettes Électrique Pratique 500W,"<h2>Description du Produit</h2>
<p>Découvrez le ""Sèche-serviettes électrique pratique 500W"", une solution de chauffage élégante et performante pour votre salle de bains. Doté d'un design incurvé moderne, ce radiateur compact s'intègre parfaitement dans les espaces contemporains tout en offrant un confort thermique optimal.</p>
<p>Grâce à son thermostat programmable, vous réalisez des économies d'énergie adaptées à votre rythme de vie. La fonction Boost permet un chauffage rapide, idéal pour les matins frais ou les besoins imprévus. Son panneau de contrôle digital intuitif affiche l'heure et la consommation énergétique, rendant son utilisation simple et efficace.</p>
<p>Parfaitement conçu pour les petits espaces, il inclut deux crochets pratiques et se monte facilement grâce au gabarit fourni. Transformez votre quotidien avec ce sèche-serviettes qui allie style, fonctionnalité et respect de l'environnement.</p>
<ul>
<li>💡 <strong>Efficacité Énergétique :</strong> Profitez d'une programmation hebdomadaire pour optimiser votre consommation d'énergie selon vos besoins quotidiens.</li>
<li>⚡ <strong>Chauffage Rapide :</strong> La fonction Boost réchauffe rapidement votre salle de bains, idéale pour les matins frais ou les besoins imprévus.</li>
<li>🖥️ <strong>Commandes Intuitives :</strong> Le panneau numérique convivial affiche l'heure et la consommation énergétique, rendant l'utilisation simple et directe.</li>
<li>🏠 <strong>Design Compact :</strong> Sa conception peu encombrante s'intègre facilement dans les petites salles de bains sans compromettre la performance.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Surface de chauffage :</strong> Jusqu'à 5 m²</li>
<li>
<strong>Puissance :</strong> 500 Watts</li>
<li>
<strong>Matière :</strong> Acier</li>
<li>
<strong>Couleur :</strong> Blanc</li>
<li>
<strong>Forme :</strong> Courbée avec tubes ronds</li>
<li>
<strong>Dimensions :</strong> Largeur : 50 cm x Hauteur : 113 cm x Profondeur : 8 cm</li>
<li>
<strong>Poids :</strong> 11,6 kg</li>
<li>
<strong>Caractéristiques supplémentaires :</strong> Deux crochets inclus pour peignoirs ou serviettes</li>
<li>
<strong>Installation :</strong> Facilité d'installation avec gabarit de montage inclus</li>
</ul>",Maison et Déco,Home & Garden > Bathroom Accessories > Towel Racks & Holders > Towel Racks,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,100,continue,manual,39.99,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0936/5897/2505/files/516f9026b836274f57cea945a85bd1dd.webp?v=1749488168,1,"",false,,,,,,,,,,,,,,,kg,,,active
seche-serviettes-electrique-500w-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/05582d237440046d8910c2e4989ba468.jpg?v=1749488168,2,"",,,,,,,,,,,,,,,,,,,
seche-serviettes-electrique-500w-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/263e5b638bdd75c11e04b60408a93f2f.jpg?v=1749488168,3,"",,,,,,,,,,,,,,,,,,,
seche-serviettes-electrique-500w-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/7da1c2774a3b10aba3e07ae89d1d7dc2.jpg?v=1749488168,4,"",,,,,,,,,,,,,,,,,,,
seche-serviettes-electrique-500w-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/3908100045b193d32bae2162851c189e.jpg?v=1749488168,5,"",,,,,,,,,,,,,,,,,,,
servante-porte-outils-a-4-tiroirs-et-armoire-de-rangement,Servante Porte Outils à 4 Tiroirs et Armoire de Rangement,"<h2>Description du Produit</h2>
<p>Découvrez la ""Servante porte outils à 4 tiroirs et armoire de rangement"", une solution de rangement deux-en-un, parfaite pour les professionnels comme les amateurs de bricolage.</p>
<p>Conçue en métal robuste, elle offre quatre tiroirs spacieux et une armoire avec étagère ajustable pour organiser vos outils efficacement. Sa mobilité est assurée par des roues universelles dont deux verrouillables, garantissant une utilisation pratique dans n'importe quel atelier ou garage.</p>
<p>Grâce à son couvercle verrouillable et ses crochets supplémentaires, vos outils restent sécurisés et facilement accessibles. Optimisez votre espace de travail tout en assurant la durabilité et la sécurité de vos équipements.</p>
<ul>
<li>🔧 Organisation &amp; Accessibilité : Plusieurs tiroirs et compartiments pour organiser et accéder facilement à vos outils.</li>
<li>🛠️ Polyvalence &amp; Efficacité Spatiale : Étagères ajustables pour des solutions de rangement personnalisées adaptées à différentes tailles d'outils.</li>
<li>🚜 Mobilité &amp; Commodité : Roues universelles pour une maniabilité aisée dans les espaces de travail ; roues verrouillables pour une stabilité accrue.</li>
<li>🔒 Durabilité &amp; Sécurité : Conçu en métal robuste avec un mécanisme de verrouillage sécurisé pour protéger vos outils.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Couleur :</strong> Noir</li>
<li>
<strong>Matière :</strong> Métal</li>
<li>
<strong>Dimensions totales :</strong> 59 x 28 x 102 cm (L x l x H)</li>
<li>
<strong>Dimensions du coffre supérieur :</strong> 45 x 24 x 32 cm (L x l x H)</li>
<li>
<strong>Dimensions de l'armoire inférieure :</strong> 59 x 28 x 70 cm (L x l x H)</li>
<li>
<strong>Poids net :</strong> 17 kg</li>
<li>
<strong>Capacité de poids par tiroir :</strong> 5 kg</li>
<li>
<strong>Capacité de poids du compartiment supérieur :</strong> 5 kg</li>
<li>
<strong>Capacité de poids du comptoir de l'armoire inférieure :</strong> 10 kg</li>
<li>
<strong>Capacité de poids de l'étagère intérieure du milieu :</strong> 5 kg</li>
<li>
<strong>Capacité de poids de l'étagère intérieure du bas :</strong> 10 kg</li>
<li>
<strong>Capacité totale :</strong> 55 kg</li>
<li>
<strong>Caractéristiques de mobilité :</strong> Équipé de quatre roues universelles, dont deux verrouillables</li>
<li>
<strong>Livraison inclut :</strong> Coffre à outils, armoire de rangement, quatre crochets, et un manuel d'instructions</li>
</ul>",outillage,Hardware > Hardware Accessories > Tool Storage & Organization > Tool Cabinets & Chests,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,100,continue,manual,69.99,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0936/5897/2505/files/b71046eca9b5327a58883bf9e87cba35.jpg?v=1749548885,1,"",false,,,,,,,,,,,,,,,kg,,,active
servante-porte-outils-a-4-tiroirs-et-armoire-de-rangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/3b46128600780f367db69baa7a21d975.webp?v=1749548885,2,"",,,,,,,,,,,,,,,,,,,
servante-porte-outils-a-4-tiroirs-et-armoire-de-rangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/0b176d4fbbd2038b48cb184ec49f1518.jpg?v=1749487991,3,"",,,,,,,,,,,,,,,,,,,
servante-porte-outils-a-4-tiroirs-et-armoire-de-rangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0936/5897/2505/files/cd4be5bdeb6f3b43fbef9eea4f80bef8.jpg?v=1749487991,4,"",,,,,,,,,,,,,,,,,,,
serre-de-jardin-4-9m,"Serre de Jardin - 4,9m²","<h2>Description du Produit</h2>
<p>Découvrez la Serre de jardin - 4,9m², l'alliée parfaite pour les jardiniers amateurs en quête d'une solution esthétique et fonctionnelle. Cette serre compacte allie design moderne et robustesse grâce à son armature en aluminium anodisé et ses panneaux en verre trempé de 3mm, offrant une résistance exceptionnelle aux intempéries tout en sublimant votre espace extérieur.</p>
<p>Profitez d'une ventilation optimale avec un évent de toit inclus, garantissant un environnement propice à la croissance de vos plantes. Sécurisée par des fixations en acier inoxydable et une base autostable en acier galvanisé, cette serre assure une longévité sans souci et un montage facile.</p>
<p>Idéale pour les espaces réduits des jardins urbains ou suburbains, elle séduira ceux qui recherchent l'harmonie entre fonctionnalité et élégance.</p>
<ul>
<li>🌿 <strong>Durabilité Améliorée :</strong> Les panneaux en verre trempé sont non seulement esthétiques mais aussi beaucoup plus durables que le verre horticole standard.</li>
<li>🔒 <strong>Sécurité Optimale :</strong> En cas de casse, le verre trempé se brise en petits morceaux non coupants, améliorant ainsi la sécurité.</li>
<li>🛡️ <strong>Structure Robuste :</strong> Le cadre en aluminium résiste à la corrosion, garantissant longévité et entretien minimal.</li>
<li>⚓ <strong>Fondation Stable :</strong> Livrée avec une base en acier galvanisé pour un assemblage facile et une stabilité accrue.</li>
<li>💨 <strong>Ventilation Efficace :</strong> Comprend un évent de toit pour faciliter la circulation de l'air et contrôler efficacement la température interne.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Dimensions :</strong> 193 cm (largeur) x 255 cm (profondeur)</li>
<li>
<strong>Surface extérieure :</strong> 4,9 m²</li>
<li>
<strong>Hauteur faîtière :</strong> 208 cm avec base</li>
<li>
<strong>Hauteur des murs :</strong> 137 cm</li>
<li>
<strong>Matériaux :</strong> Cadre en aluminium anodisé naturel, panneaux en verre trempé de 3 mm d'épaisseur</li>
<li>
<strong>Couleur :</strong> Aluminium anodisé naturel</li>
<li>
<strong>Type de porte :</strong> Porte coulissante simple (60 cm x 160 cm)</li>
<li>
<strong>Ventilation :</strong> Un évent de toit inclus, ouverture automatique en option</li>
<li>
<strong>Fixations :</strong> En acier inoxydable</li>
<li>
<strong>Base :</strong> Autoportante en acier galvanisé</li>
<li>
<strong>Gouttières :</strong> Intégrées</li>
</ul>",Brico et Jardin,Home & Garden > Lawn & Garden > Gardening > Greenhouses,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,100,continue,manual,69.99,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0936/5897/2505/files/721d7582bafe6aec6f81121adf4c294e.jpg?v=1749548898,1,"",false,,,,,,,,,,,,,,,kg,,,active
